Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Year,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2
3.0,Charlotte Bobcats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15890.0,0.475,11.4,,0.789,0.362,0.155,0.09,0.181,0.211,,0.506,0.637,0.394,0.393,0.4,0.356,,0.546,0.879,,0.069,329.0,,0.277,855.0,,0.276,0.413,,,
4.0,Chicago Bulls*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15940.0,0.421,12.4,,0.827,0.285,0.164,0.115,0.263,0.173,,0.442,0.569,0.382,0.385,0.366,0.325,,0.503,0.82,,0.042,213.0,,0.239,665.0,,0.195,0.311,,,
5.0,Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15965.0,0.467,12.3,,0.772,0.303,0.16,0.119,0.189,0.228,,0.498,0.652,0.4,0.396,0.398,0.362,,0.543,0.879,,0.05,249.0,,0.234,771.0,,0.275,0.382,,,
6.0,Dallas Mavericks*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,16065.0,0.435,13.0,,0.746,0.27,0.164,0.113,0.199,0.254,,0.466,0.654,0.336,0.367,0.375,0.346,,0.513,0.825,,0.055,274.0,,0.201,640.0,,0.229,0.355,,,
7.0,Denver Nuggets*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,16040.0,0.456,13.3,,0.733,0.282,0.14,0.096,0.214,0.267,,0.483,0.629,0.351,0.373,0.426,0.383,,0.531,0.842,,0.048,230.0,,0.226,743.0,,0.293,0.41,,,
8.0,Detroit Pistons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15965.0,0.462,12.4,,0.784,0.31,0.146,0.103,0.224,0.216,,0.492,0.636,0.401,0.387,0.4,0.355,,0.58,0.848,,0.056,256.0,,0.235,707.0,,0.232,0.409,,,
9.0,Golden State Warriors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15915.0,0.453,12.5,,0.764,0.285,0.188,0.111,0.181,0.236,,0.48,0.627,0.39,0.376,0.406,0.365,,0.564,0.859,,0.05,237.0,,0.218,693.0,,0.228,0.384,,,
10.0,Houston Rockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,16065.0,0.456,12.2,,0.791,0.285,0.191,0.112,0.203,0.209,,0.491,0.669,0.378,0.395,0.399,0.325,,0.474,0.875,,0.054,274.0,,0.236,779.0,,0.279,0.338,,,
11.0,Indiana Pacers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15990.0,0.435,12.9,,0.763,0.277,0.162,0.115,0.209,0.237,,0.461,0.605,0.387,0.403,0.358,0.351,,0.495,0.837,,0.046,221.0,,0.225,668.0,,0.265,0.392,,,
12.0,Los Angeles Clippers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15965.0,0.447,13.2,,0.753,0.26,0.183,0.099,0.21,0.247,,0.474,0.65,0.409,0.389,0.353,0.365,,0.542,0.83,,0.054,251.0,,0.201,627.0,,0.247,0.429,,,
