Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
22,orlando magic,82,19730,0.47,13.7,0.65,0.301,0.123,0.082,0.144,0.35,0.521,0.63,0.468,0.408,0.405,0.375,0.421,0.837,0.057,345,0.224,818,0.282,0.421,23,0,2009
23,philadelphia 76ers,82,19805,0.46,12.1,0.794,0.311,0.127,0.146,0.209,0.206,0.491,0.615,0.427,0.387,0.416,0.343,0.502,0.865,0.061,392,0.231,840,0.251,0.399,22,1,2009
24,phoenix suns,82,19730,0.492,12.5,0.739,0.312,0.135,0.106,0.185,0.261,0.52,0.637,0.462,0.44,0.409,0.412,0.509,0.801,0.064,380,0.23,918,0.258,0.443,13,1,2009
25,portland trail blazers,82,19855,0.461,12.9,0.785,0.286,0.111,0.133,0.255,0.215,0.49,0.625,0.425,0.408,0.41,0.354,0.494,0.91,0.044,263,0.217,825,0.342,0.389,27,0,2009
26,sacramento kings,82,19880,0.456,11.6,0.799,0.327,0.159,0.094,0.22,0.201,0.483,0.61,0.385,0.427,0.388,0.349,0.471,0.882,0.037,231,0.265,1064,0.251,0.418,17,0,2009
27,san antonio spurs,82,19780,0.473,12.2,0.768,0.312,0.146,0.108,0.203,0.232,0.508,0.649,0.431,0.388,0.408,0.358,0.514,0.892,0.032,198,0.269,1105,0.37,0.385,11,0,2009
28,toronto raptors,82,19780,0.482,12.6,0.789,0.308,0.133,0.111,0.238,0.211,0.512,0.64,0.453,0.429,0.419,0.371,0.51,0.842,0.052,307,0.238,946,0.215,0.443,36,2,2009
29,utah jazz,82,19755,0.491,10.9,0.816,0.383,0.121,0.092,0.22,0.184,0.519,0.637,0.422,0.409,0.415,0.364,0.652,0.841,0.064,375,0.297,1161,0.205,0.453,9,0,2009
30,washington wizards,82,19830,0.449,12.6,0.817,0.279,0.148,0.116,0.274,0.183,0.471,0.619,0.359,0.403,0.408,0.353,0.474,0.775,0.043,277,0.221,821,0.233,0.382,14,0,2009
NA,league average,82,19820,0.461,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.492,0.613,0.421,0.4,0.402,0.355,0.505,0.847,0.048,293,0.253,961,0.258,0.392,15.9,0.6,2009
1,atlanta hawks,82,19705,0.458,13.3,0.747,0.267,0.16,0.101,0.219,0.253,0.49,0.627,0.461,0.403,0.384,0.366,0.483,0.868,0.055,314,0.211,790,0.285,0.4,17,0,2008
2,boston celtics,82,19880,0.486,12.1,0.786,0.332,0.123,0.109,0.223,0.214,0.51,0.633,0.402,0.411,0.434,0.397,0.541,0.911,0.044,266,0.281,1042,0.301,0.446,5,0,2008
3,charlotte bobcats,82,19930,0.455,11.6,0.787,0.368,0.119,0.082,0.219,0.213,0.479,0.566,0.384,0.398,0.415,0.366,0.539,0.939,0.047,274,0.307,1002,0.299,0.385,18,1,2008
4,chicago bulls,82,19930,0.457,12.4,0.811,0.33,0.084,0.104,0.293,0.189,0.474,0.574,0.386,0.387,0.418,0.381,0.505,0.817,0.048,300,0.265,951,0.246,0.374,13,0,2008
5,cleveland cavaliers,82,19780,0.468,13.7,0.741,0.278,0.101,0.101,0.262,0.259,0.495,0.644,0.385,0.391,0.418,0.393,0.484,0.79,0.049,289,0.21,801,0.351,0.412,10,0,2008
6,dallas mavericks,82,19805,0.462,13.4,0.759,0.266,0.089,0.162,0.242,0.241,0.498,0.601,0.402,0.443,0.456,0.35,0.506,0.851,0.042,262,0.211,774,0.282,0.335,17,1,2008
7,denver nuggets,82,19730,0.47,11.8,0.773,0.376,0.1,0.081,0.216,0.227,0.499,0.616,0.407,0.327,0.401,0.371,0.555,0.777,0.088,523,0.266,924,0.193,0.389,18,1,2008
8,detroit pistons,82,19905,0.454,12.7,0.835,0.284,0.091,0.156,0.304,0.165,0.475,0.587,0.477,0.405,0.406,0.349,0.51,0.955,0.039,233,0.229,812,0.38,0.38,11,0,2008
9,golden state warriors,82,19880,0.458,12.6,0.791,0.308,0.138,0.092,0.252,0.209,0.48,0.632,0.362,0.366,0.402,0.373,0.468,0.827,0.044,290,0.247,1036,0.224,0.461,18,1,2008
10,houston rockets,82,19805,0.453,12.3,0.746,0.309,0.16,0.111,0.166,0.254,0.48,0.568,0.45,0.409,0.393,0.375,0.492,0.824,0.033,195,0.265,922,0.194,0.383,25,0,2008
11,indiana pacers,82,19830,0.455,12.9,0.756,0.295,0.135,0.103,0.223,0.244,0.48,0.592,0.413,0.41,0.403,0.378,0.454,0.933,0.026,167,0.261,1051,0.174,0.37,9,0,2008
12,los angeles clippers,82,19880,0.441,12.2,0.774,0.336,0.119,0.102,0.218,0.226,0.467,0.582,0.4,0.347,0.382,0.354,0.525,0.847,0.045,260,0.265,957,0.18,0.426,30,3,2008
13,los angeles lakers,82,19780,0.474,11.9,0.783,0.32,0.148,0.119,0.196,0.217,0.505,0.616,0.44,0.443,0.41,0.361,0.522,0.854,0.068,442,0.231,872,0.274,0.366,14,0,2008
14,memphis grizzlies,82,19805,0.454,11.4,0.825,0.332,0.164,0.102,0.227,0.175,0.474,0.573,0.405,0.398,0.414,0.36,0.433,0.892,0.07,406,0.248,759,0.252,0.394,13,0,2008
15,miami heat,82,19955,0.457,13.3,0.755,0.275,0.119,0.114,0.247,0.245,0.489,0.619,0.423,0.412,0.411,0.357,0.485,0.826,0.062,363,0.199,722,0.288,0.364,22,0,2008
16,milwaukee bucks,82,19780,0.445,12.4,0.792,0.305,0.118,0.125,0.243,0.208,0.467,0.568,0.437,0.384,0.398,0.363,0.539,0.892,0.043,257,0.243,861,0.304,0.4,8,1,2008
17,minnesota timberwolves,82,19805,0.441,11.9,0.773,0.332,0.137,0.107,0.196,0.227,0.467,0.571,0.4,0.365,0.395,0.353,0.491,0.875,0.031,186,0.28,1017,0.292,0.411,18,0,2008
18,new jersey nets,82,19830,0.448,12.8,0.735,0.33,0.088,0.102,0.215,0.265,0.473,0.578,0.416,0.375,0.383,0.376,0.478,0.842,0.051,304,0.26,893,0.307,0.451,9,0,2008
19,new orleans hornets,82,19755,0.457,12.8,0.76,0.276,0.134,0.137,0.213,0.24,0.487,0.613,0.451,0.387,0.41,0.364,0.471,0.899,0.056,325,0.202,714,0.33,0.414,9,0,2008
20,new york knicks,82,19805,0.445,12.8,0.678,0.349,0.091,0.084,0.154,0.322,0.486,0.576,0.412,0.364,0.391,0.36,0.447,0.843,0.037,235,0.299,1150,0.239,0.382,19,0,2008
21,oklahoma city thunder,82,19805,0.447,11,0.859,0.338,0.134,0.138,0.248,0.141,0.463,0.606,0.358,0.388,0.368,0.346,0.515,0.878,0.071,429,0.25,885,0.217,0.345,12,0,2008
22,orlando magic,82,19730,0.457,13.6,0.665,0.282,0.127,0.101,0.155,0.335,0.495,0.623,0.405,0.424,0.381,0.381,0.417,0.871,0.054,327,0.215,761,0.303,0.395,11,0,2008
